"dataset","scenario","ess_quantile","dose","n","s","is_mean","mcmc_mean","abs_diff","rhat","mcmc_ess"
"Sc5_q50",5,0.5,3,3,0,0.150937605026295,0.151212233782844,0.000274628756548656,1.00005125799153,7552.13939290331
"Sc5_q50",5,0.5,4,3,0,0.225853289479342,0.231096389549595,0.00524310007025255,1.00000108773979,6666.32678896408
"Sc5_q50",5,0.5,5,18,4,0.345828411593538,0.345705114196751,0.000123297396787236,1.00017898743759,3885.14511086619
"Sc5_q50",5,0.5,6,0,0,0.554948599405766,0.520273939983604,0.0346746594221617,1.00048705964132,2698.99070999232
"Sc10_q10",10,0.1,1,3,0,0.0504473017777484,0.0502946794975729,0.000152622280175457,1.00021043443165,7067.87737401553
"Sc10_q10",10,0.1,2,3,0,0.126798930533067,0.127637820106454,0.000838889573387513,1.0002953293212,7692.67671177509
"Sc10_q10",10,0.1,3,24,4,0.237741310288156,0.236659211744907,0.0010820985432487,1.00056425772505,6000.91964614445
"Sc10_q10",10,0.1,4,0,0,0.385540281217249,0.383822066278321,0.00171821493892776,1.00109369706509,3331.25058685791
"Sc10_q10",10,0.1,5,0,0,0.567616203038662,0.568183289233124,0.000567086194462108,1.00192600738531,1851.49682290815
"Sc10_q10",10,0.1,6,0,0,0.778892735722992,0.781070318935377,0.00217758321238448,1.00236656986536,1157.57798066995
"Sc10_q50",10,0.5,1,3,0,0.0641858218352395,0.0625816074543596,0.00160421438087992,1.00090391868747,6536.21272167385
"Sc10_q50",10,0.5,2,3,0,0.167238744244162,0.165780185451323,0.00145855879283913,1.00035314574772,7638.92139965794
"Sc10_q50",10,0.5,3,21,5,0.301308775186909,0.300520612053163,0.000788163133746134,1.0001077220726,7625.08509437785
"Sc10_q50",10,0.5,4,3,2,0.462673017884034,0.463514389867526,0.000841371983492045,1.00012794682459,4345.47500737298
"Sc10_q50",10,0.5,5,0,0,0.639960591362812,0.644012546689533,0.00405195532672009,1.00108506202825,2093.07712213224
"Sc10_q50",10,0.5,6,0,0,0.819186189940203,0.827490318623019,0.00830412868281538,1.00494137284886,1283.16509578389
